1 : CS:GO
3 : Daniel Sadowski, Crimson Assault
4 : Noisia, Sharpened
5 : Robert Allaire, Insurgency
6 : Sean Murray, AD8
7 : Feed Me, High Moon
8 : Dern, Death's Head Demolition
9 : Austin Wintory, Desert Fire
10 : Sasha, LNOE
11 : Skog, Metal
12 : Midnight Riders, All I Want for Christmas
13 : Matt Lange, IsoRhythm
14 : Mateo Messina, For No Mankind
15 : Various Artists, Hotline Miami
16 : Daniel Sadowski, Total Domination
17 : Damjan Mravunac, The Talos Principle
18 : Proxy, Battlepack
19 : Ki:Theroy, MOLOTOV
20 : Troels Folmann, Uber Blasto Phone
21 : Kelly Bailey, Hazardous Environments
22 : Skog. II-Headshot
23 : Daniel Sadowski, The 8-Bit Kit
24 : AWOLNATION, I Am
25 : Mord Fustang, Diamonds
26 : Michael Bross, Invasion!
27 : Ian Hultquist, Lion's Mouth
28 : New Beat Fund, Sponge Fingerz
29 : Beartooth, Disgusting
30 : Lennie Moore, Java Havana Funkaloo
31 : Darude, Moments CSGO
32 : Beartooth, Aggressive
33 : Blitz Kids,  The Good Youth
34 : Hundredth, FREE
35 : Neck Deep, Life's Not Out to Get You
36 : Roam, Backbone
37 : Twin Atlantic, GLA
38 : Skog, III-Arena
39 : The Verkkars, EZ4ENCE
40 : Halo, The Master Chief Collection
41 : Scarlxrd: King, Scar
42 : Half-Life: Alyx, Anti-Citizen
43 : Austin Wintory, Bachram
44 : Dren, Gunman Taco Truck
45 : Daniel Sadowski, Eye of the Dragon
46 : Tree Adams and Ben Bromfield, M.U.D.D. FORCE
47 : Tim Huling, Neo Noir
48 : Sam Marshall, Bodacious
49 : Matt Levine, Drifter
50 : Amon Tobin, All for Dust
